@(3, 0x00001000, 0x02022AA8, -0.101562500000000, -0.101562500000000)
@(3, 0x00001000, 0x0202A228, -0.101562500000000, -0.101562500000000)
@(3, 0x00001000, 0x0A0A2220, -0.101562500000000, -0.101562500000000)
@(3, 0x00001000, 0x0A0AAAA0, -0.101562500000000, -0.101562500000000)
@(3, 0x00001000, 0x04044662, -0.093750000000000, -0.093750000000000)
@(3, 0x00001000, 0x04046442, -0.093750000000000, -0.093750000000000)
@(3, 0x00001000, 0x06064440, -0.093750000000000, -0.093750000000000)
@(3, 0x00001000, 0x06066660, -0.085937500000000, -0.085937500000000)
@(3, 0x00001000, 0x02027770, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x0202FFF0, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x07072775, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x07077225, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x07077AAD, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0707A77D, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0A0A7770, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0A0AFFF0, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0F0F2FFD, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x0F0FAFF5, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0F0FF22D, 0.078125000000000, 0.078125000000000)
@(3, 0x00001000, 0x0F0FFAA5, -0.078125000000000, -0.078125000000000)
@(3, 0x00001000, 0x0707FFF0, 0.070312500000000, 0.070312500000000)
@(3, 0x00001000, 0x0F0F7FF8, 0.070312500000000, 0.070312500000000)
@(3, 0x00001000, 0x0F0FF778, 0.070312500000000, 0.070312500000000)
@(3, 0x00001000, 0x02027FF8, 0.062500000000000, 0.062500000000000)
@(3, 0x00001000, 0x0202F778, 0.062500000000000, 0.062500000000000)
@(3, 0x00001000, 0x03034440, -0.062500000000000, -0.062500000000000)
@(3, 0x00001000, 0x04043447, -0.062500000000000, -0.062500000000000)
@(3, 0x00001000, 0x04044337, -0.062500000000000, -0.062500000000000)
