# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(4, 0x0000B000, 0x022222A2, 0.007812500000000, 0.007812500000000)
@(4, 0x0000B000, 0x022222AA, 0.007812500000000, 0.007812500000000)
@(4, 0xB0000000, 0x22A20222, 0.007812500000000, 0.007812500000000)
@(4, 0xB0000000, 0x22AA0222, 0.007812500000000, 0.007812500000000)
@(4, 0xB0000000, 0x2AA20AAA, 0.007812500000000, 0.007812500000000)
@(4, 0xB0000000, 0x2AAA0AAA, 0.007812500000000, 0.007812500000000)
@(4, 0x0000000D, 0x1401E10F, -0.007080078125000, -0.007080078125000)
@(4, 0x0000000D, 0x1E014105, -0.007080078125000, -0.007080078125000)
@(4, 0x000D0000, 0x41051E01, -0.007080078125000, -0.007080078125000)
@(4, 0x0000000E, 0x87088800, 0.006851196289062, 0.006851196289062)
@(4, 0x0000000E, 0x8808780F, 0.006851196289062, 0.006851196289062)
@(4, 0x000E0000, 0x780F8808, 0.006851196289062, 0.006851196289062)
@(4, 0x000E0000, 0x88008708, 0.006851196289062, 0.006851196289062)
@(4, 0x0000000E, 0x81088800, 0.006843566894531, 0.006843566894531)
@(4, 0x0000000E, 0x88081809, 0.006843566894531, 0.006843566894531)
@(4, 0x000E0000, 0x18098808, 0.006843566894531, 0.006843566894531)
@(4, 0x000E0000, 0x88008108, 0.006843566894531, 0.006843566894531)
@(4, 0x0000000E, 0x8808C804, -0.006835937500000, -0.006835937500000)
@(4, 0x0000000E, 0x8808F807, -0.006835937500000, -0.006835937500000)
@(4, 0x0000000E, 0x8C088800, -0.006835937500000, -0.006835937500000)
@(4, 0x0000000E, 0x8F088800, -0.006835937500000, -0.006835937500000)
@(4, 0x0000000E, 0x8F08F807, 0.006835937500000, 0.006835937500000)
@(4, 0x00002000, 0x022222A2, 0.006835937500000, 0.006835937500000)
@(4, 0x00002000, 0x022222AA, 0.006835937500000, 0.006835937500000)
@(4, 0x000E0000, 0x88008C08, -0.006835937500000, -0.006835937500000)
@(4, 0x000E0000, 0x88008F08, -0.006835937500000, -0.006835937500000)
@(4, 0x000E0000, 0xC8048808, -0.006835937500000, -0.006835937500000)
@(4, 0x000E0000, 0xF8078808, -0.006835937500000, -0.006835937500000)
@(4, 0x000E0000, 0xF8078F08, 0.006835937500000, 0.006835937500000)
@(4, 0x20000000, 0x22A20222, 0.006835937500000, 0.006835937500000)
@(4, 0x20000000, 0x22AA0222, 0.006835937500000, 0.006835937500000)
@(4, 0x20000000, 0x2AA20AAA, 0.006835937500000, 0.006835937500000)
@(4, 0x20000000, 0x2AAA0AAA, 0.006835937500000, 0.006835937500000)
@(4, 0x0000000E, 0x88088800, 0.006820678710938, 0.006820678710938)
@(4, 0x000E0000, 0x88008808, 0.006820678710938, 0.006820678710938)
@(4, 0x000000E0, 0x8880780F, 0.006729125976562, 0.006729125976562)
@(4, 0x00E00000, 0x780F8880, 0.006729125976562, 0.006729125976562)
@(4, 0x0000000A, 0x44044400, -0.006713867187500, -0.006713867187500)
@(4, 0x000A0000, 0x44004404, -0.006713867187500, -0.006713867187500)
@(4, 0x000000E0, 0x88808800, 0.006210327148438, 0.006210327148438)
@(4, 0x00E00000, 0x88008880, 0.006210327148438, 0.006210327148438)
@(4, 0x000000E0, 0x88801809, 0.006111145019531, 0.006111145019531)
@(4, 0x00E00000, 0x18098880, 0.006111145019531, 0.006111145019531)
@(4, 0x0000000D, 0x1C01C10D, -0.006103515625000, -0.006103515625000)
@(4, 0x00000006, 0x45045401, -0.005859375000000, -0.005859375000000)
@(4, 0x000000E0, 0x88808E66, 0.005859375000000, 0.005859375000000)
@(4, 0x000000E0, 0x8880CC40, 0.005859375000000, 0.005859375000000)
@(4, 0x000000E0, 0x8880F807, -0.005859375000000, -0.005859375000000)
@(4, 0x00060000, 0x54014504, -0.005859375000000, -0.005859375000000)
@(4, 0x00E00000, 0x8E668880, 0.005859375000000, 0.005859375000000)
@(4, 0x00E00000, 0xCC408880, 0.005859375000000, 0.005859375000000)
@(4, 0x00E00000, 0xF8078880, -0.005859375000000, -0.005859375000000)
@(4, 0x000000E0, 0x88808C44, -0.005798339843750, -0.005798339843750)
@(4, 0x00E00000, 0x8C448880, -0.005798339843750, -0.005798339843750)
@(4, 0x0000000D, 0x5405E50B, -0.005493164062500, -0.005493164062500)
@(4, 0x0000000D, 0x5E054501, -0.005493164062500, -0.005493164062500)
@(4, 0x000D0000, 0x45015E05, -0.005493164062500, -0.005493164062500)
@(4, 0x000D0000, 0xE10F1401, -0.005493164062500, -0.005493164062500)
@(4, 0x000D0000, 0xE50B5405, -0.005493164062500, -0.005493164062500)
@(4, 0x000000E0, 0x8880C804, -0.005432128906250, -0.005432128906250)
@(4, 0x00E00000, 0xC8048880, -0.005432128906250, -0.005432128906250)
@(4, 0x00000004, 0x45045E0B, 0.005371093750000, 0.005371093750000)
@(4, 0x00000004, 0xE10E1405, 0.005371093750000, 0.005371093750000)
@(4, 0x00000004, 0xE50E5401, 0.005371093750000, 0.005371093750000)
@(4, 0x00000006, 0xE10E1E0F, -0.005371093750000, -0.005371093750000)
@(4, 0x00000006, 0xE50E5E0B, -0.005371093750000, -0.005371093750000)
@(4, 0x0000000D, 0x14014501, -0.005371093750000, -0.005371093750000)
@(4, 0x0000000D, 0x54054105, -0.005371093750000, -0.005371093750000)
@(4, 0x00002000, 0x02227F72, -0.005371093750000, -0.005371093750000)
@(4, 0x00002000, 0x02227F7A, -0.005371093750000, -0.005371093750000)
@(4, 0x00040000, 0x5401E50E, 0.005371093750000, 0.005371093750000)
@(4, 0x00040000, 0x5E0B4504, 0.005371093750000, 0.005371093750000)
@(4, 0x00060000, 0x5E0BE50E, -0.005371093750000, -0.005371093750000)
@(4, 0x000D0000, 0x41055405, -0.005371093750000, -0.005371093750000)
@(4, 0x000D0000, 0x45011401, -0.005371093750000, -0.005371093750000)
@(4, 0x0000000D, 0x14014105, 0.005249023437500, 0.005249023437500)
@(4, 0x0000000D, 0x1E01E50B, -0.005249023437500, -0.005249023437500)
@(4, 0x0000000D, 0x5E05E10F, -0.005249023437500, -0.005249023437500)
@(4, 0x000D0000, 0x41051401, 0.005249023437500, 0.005249023437500)
@(4, 0x000D0000, 0xE10F5E05, -0.005249023437500, -0.005249023437500)
@(4, 0x000D0000, 0xE50B1E01, -0.005249023437500, -0.005249023437500)
@(4, 0x00000007, 0x1E01E10F, -0.005165100097656, -0.005165100097656)
@(4, 0x000D0000, 0x41059E09, 0.005004882812500, 0.005004882812500)
@(4, 0x00000007, 0x14014105, -0.004920959472656, -0.004920959472656)
@(4, 0x00070000, 0x41051401, -0.004920959472656, -0.004920959472656)
@(4, 0x00000004, 0x4404E40A, -0.004882812500000, -0.004882812500000)
@(4, 0x00000004, 0x4E044400, -0.004882812500000, -0.004882812500000)
@(4, 0x00000006, 0x4E04E40A, 0.004882812500000, 0.004882812500000)
@(4, 0x0000000F, 0x46046402, 0.004882812500000, 0.004882812500000)
@(4, 0x00002000, 0x022227A2, 0.004882812500000, 0.004882812500000)
@(4, 0x00002000, 0x022227AF, 0.004882812500000, 0.004882812500000)
@(4, 0x00002000, 0x02222AAF, -0.004882812500000, -0.004882812500000)
@(4, 0x00002000, 0x02222F77, -0.004882812500000, -0.004882812500000)
@(4, 0x00002000, 0x02222F7F, -0.004882812500000, -0.004882812500000)
@(4, 0x00002000, 0x02222FAA, -0.004882812500000, -0.004882812500000)
@(4, 0x00004000, 0x044444E4, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x044444EE, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0444EE44, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0444EE4E, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0444EEEE, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0EEE4EE4, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0EEE4EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0EEEE444, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0EEEE44E, 0.004882812500000, 0.004882812500000)
@(4, 0x00004000, 0x0EEEE4E4, 0.004882812500000, 0.004882812500000)
@(4, 0x0000E000, 0x04444644, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04444646, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04444664, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04444666, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04446444, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04446446, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04446464, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x04446466, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x06664444, -0.004882812500000, -0.004882812500000)
@(4, 0x0000E000, 0x06664446, -0.004882812500000, -0.004882812500000)
@(4, 0x00040000, 0x44004E04, -0.004882812500000, -0.004882812500000)
@(4, 0x00040000, 0xE40A4404, -0.004882812500000, -0.004882812500000)
@(4, 0x00060000, 0xE40A4E04, 0.004882812500000, 0.004882812500000)
@(4, 0x000F0000, 0x64024604, 0.004882812500000, 0.004882812500000)
@(4, 0x20000000, 0x22A20777, 0.004882812500000, 0.004882812500000)
@(4, 0x20000000, 0x22AA0777, 0.004882812500000, 0.004882812500000)
@(4, 0x20000000, 0x27770AAA, -0.004882812500000, -0.004882812500000)
@(4, 0x20000000, 0x277F0AAA, -0.004882812500000, -0.004882812500000)
@(4, 0x20000000, 0x27A20222, 0.004882812500000, 0.004882812500000)
@(4, 0x20000000, 0x27A20777, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0x44E40444, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0x44EE0444, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0x4EE40EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0x4EEE0EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xE4440EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xE44E0EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xE4E40EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xE4EE0EEE, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xEE440444, 0.004882812500000, 0.004882812500000)
@(4, 0x40000000, 0xEE4E0444, 0.004882812500000, 0.004882812500000)
@(4, 0xE0000000, 0x44440666, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x44460666, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x44640666, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x44660666, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x46440444, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x46460444, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x46640444, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x46660444, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x64440444, -0.004882812500000, -0.004882812500000)
@(4, 0xE0000000, 0x64460444, -0.004882812500000, -0.004882812500000)
@(4, 0x00000003, 0x1401E10F, 0.004844665527344, 0.004844665527344)
@(4, 0x00000003, 0x1E014105, 0.004844665527344, 0.004844665527344)
@(4, 0x00030000, 0x41051E01, 0.004844665527344, 0.004844665527344)
