# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x000B0000, 0x208A882A, 0.000251770019531, 0.000251770019531)
@(5, 0x000B0000, 0x208A887F, -0.000251770019531, -0.000251770019531)
@(5, 0x00800000, 0x00220A20, -0.000251770019531, -0.000251770019531)
@(5, 0x00800000, 0x00220A28, -0.000251770019531, -0.000251770019531)
@(5, 0x00000002, 0x002228A8, 0.000244140625000, 0.000244140625000)
@(5, 0x00000002, 0x002278AD, 0.000244140625000, 0.000244140625000)
@(5, 0x00000002, 0x0022A8A0, -0.000244140625000, -0.000244140625000)
@(5, 0x00000002, 0x0022F8A5, 0.000244140625000, 0.000244140625000)
@(5, 0x000000F0, 0x02200577, 0.000244140625000, 0.000244140625000)
@(5, 0x000000F0, 0x022005AA, -0.000244140625000, -0.000244140625000)
@(5, 0x000000F0, 0x02200DAA, -0.000244140625000, -0.000244140625000)
@(5, 0x000000F0, 0x02200DFF, 0.000244140625000, 0.000244140625000)
@(5, 0x000000F0, 0x02250022, 0.000244140625000, 0.000244140625000)
@(5, 0x000000F0, 0x02250577, 0.000244140625000, 0.000244140625000)
@(5, 0x000000F0, 0x022508AA, -0.000244140625000, -0.000244140625000)
@(5, 0x000000F0, 0x02250DFF, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x10111111, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x10111155, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x10111199, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x101111DD, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x10111511, -0.000244140625000, -0.000244140625000)
@(5, 0x00002000, 0x10111555, -0.000244140625000, -0.000244140625000)
@(5, 0x00002000, 0x10111599, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x101115DD, 0.000244140625000, 0.000244140625000)
@(5, 0x00002000, 0x10111911, -0.000244140625000, -0.000244140625000)
@(5, 0x00002000, 0x10111955, 0.000244140625000, 0.000244140625000)
@(5, 0x00020000, 0x11450011, -0.000244140625000, -0.000244140625000)
@(5, 0x00020000, 0x11450455, 0.000244140625000, 0.000244140625000)
@(5, 0x00020000, 0x11450899, 0.000244140625000, 0.000244140625000)
@(5, 0x00020000, 0x11450CDD, 0.000244140625000, 0.000244140625000)
@(5, 0x00F00000, 0x00220225, 0.000244140625000, 0.000244140625000)
@(5, 0x00F00000, 0x0022022D, 0.000244140625000, 0.000244140625000)
@(5, 0x00F00000, 0x00220720, 0.000244140625000, 0.000244140625000)
@(5, 0x00F00000, 0x00220725, 0.000244140625000, 0.000244140625000)
@(5, 0x00F00000, 0x00220728, -0.000244140625000, -0.000244140625000)
@(5, 0x00F00000, 0x0022072D, -0.000244140625000, -0.000244140625000)
@(5, 0x00F00000, 0x002207F5, -0.000244140625000, -0.000244140625000)
@(5, 0x00F00000, 0x002207FD, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x10130232, 0.000244140625000, 0.000244140625000)
@(5, 0x20000000, 0x101B0232, 0.000244140625000, 0.000244140625000)
@(5, 0x20000000, 0x10560636, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x105E0636, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x11111011, 0.000244140625000, 0.000244140625000)
@(5, 0x20000000, 0x11111455, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x11111899, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x11111CDD, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x212E44E0, -0.000244140625000, -0.000244140625000)
@(5, 0x20000000, 0x21A64CE8, -0.000244140625000, -0.000244140625000)
@(5, 0xF0000000, 0x88CC84CC, 0.000244140625000, 0.000244140625000)
@(5, 0xF0000000, 0x8C8880C8, 0.000244140625000, 0.000244140625000)
@(5, 0x00000080, 0x044000EE, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x04400AEE, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x044A0044, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x044A00EE, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x044A0A44, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x044A0AEE, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x04E00044, -0.000242233276367, -0.000242233276367)
@(5, 0x00000080, 0x04E000EE, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x0044044A, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x004404E0, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x004404EA, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x00440E40, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x00440E4A, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x00440EE0, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x00EE0440, -0.000242233276367, -0.000242233276367)
@(5, 0x00800000, 0x00EE044A, -0.000242233276367, -0.000242233276367)
@(5, 0x00000008, 0x00444151, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x004443D9, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x0044479D, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x004449D9, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x00444B51, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x00444D9D, -0.000241279602051, -0.000241279602051)
@(5, 0x00000008, 0x0044E15B, -0.000241279602051, -0.000241279602051)
@(5, 0x00080000, 0x42C80044, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x42C800EE, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x42C80A44, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x42C80AEE, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x45BF0044, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x45BF00EE, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x45BF0A44, -0.000238418579102, -0.000238418579102)
@(5, 0x00080000, 0x45BF0AEE, -0.000238418579102, -0.000238418579102)
@(5, 0x50000000, 0x8888878F, -0.000237941741943, -0.000237941741943)
@(5, 0x50000000, 0x8FFF8088, -0.000237941741943, -0.000237941741943)
@(5, 0x50000000, 0x8FFF878F, 0.000237941741943, 0.000237941741943)
@(5, 0x00007000, 0x84CC8C8C, -0.000229835510254, -0.000229835510254)
@(5, 0x00000040, 0x00490D99, -0.000213623046875, -0.000213623046875)
@(5, 0x00000040, 0x004D0D99, -0.000213623046875, -0.000213623046875)
@(5, 0x0000F000, 0x80C88C88, 0.000213623046875, 0.000213623046875)
@(5, 0x0000F000, 0x80C8C8C8, 0.000213623046875, 0.000213623046875)
@(5, 0x0000F000, 0x84CC88CC, 0.000213623046875, 0.000213623046875)
@(5, 0x0000F000, 0x84CCCC8C, 0.000213623046875, 0.000213623046875)
@(5, 0x00007000, 0x84CC8C88, -0.000209808349609, -0.000209808349609)
@(5, 0x30000000, 0x83CC848C, -0.000206947326660, -0.000206947326660)
@(5, 0x30000000, 0x83CC8B73, 0.000206947326660, 0.000206947326660)
@(5, 0x30000000, 0x8CCC848C, 0.000206947326660, 0.000206947326660)
@(5, 0x30000000, 0x8CCC8B73, -0.000206947326660, -0.000206947326660)
@(5, 0x00300000, 0x00880880, 0.000205993652344, 0.000205993652344)
@(5, 0x00300000, 0x00880884, 0.000205993652344, 0.000205993652344)
@(5, 0x00300000, 0x00880CC0, -0.000205993652344, -0.000205993652344)
@(5, 0x00300000, 0x00880CC4, -0.000205993652344, -0.000205993652344)
@(5, 0x00300000, 0x00CC08C0, 0.000205993652344, 0.000205993652344)
@(5, 0x00300000, 0x00CC08C4, 0.000205993652344, 0.000205993652344)
@(5, 0x00300000, 0x00CC0C80, -0.000205993652344, -0.000205993652344)
@(5, 0x00300000, 0x00CC0C84, -0.000205993652344, -0.000205993652344)
@(5, 0x00300000, 0x04880880, -0.000205993652344, -0.000205993652344)
@(5, 0x00300000, 0x04880884, -0.000205993652344, -0.000205993652344)
@(5, 0x00007000, 0x80887778, -0.000204563140869, -0.000204563140869)
@(5, 0x00007000, 0x80887887, 0.000204563140869, 0.000204563140869)
@(5, 0x00007000, 0x80888777, 0.000204563140869, 0.000204563140869)
@(5, 0x00007000, 0x80888888, -0.000204563140869, -0.000204563140869)
@(5, 0x00007000, 0x8F877778, 0.000204563140869, 0.000204563140869)
@(5, 0x00007000, 0x8F877887, -0.000204563140869, -0.000204563140869)
@(5, 0x00007000, 0x8F878777, -0.000204563140869, -0.000204563140869)
@(5, 0x00007000, 0x8F878888, 0.000204563140869, 0.000204563140869)
@(5, 0x00008000, 0x84CC8C88, 0.000202178955078, 0.000202178955078)
@(5, 0x00D00000, 0x0088077B, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x0088077F, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x00884CC0, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x00884CC4, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x04CC037B, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x04CC037F, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x04CC48C0, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x04CC48C4, -0.000193595886230, -0.000193595886230)
@(5, 0x00D00000, 0x0BCC037B, 0.000193595886230, 0.000193595886230)
@(5, 0x00D00000, 0x0BCC037F, 0.000193595886230, 0.000193595886230)
@(5, 0x000000D0, 0x07700077, 0.000192165374756, 0.000192165374756)
@(5, 0x000000D0, 0x07700088, 0.000192165374756, 0.000192165374756)
@(5, 0x000000D0, 0x07700F77, -0.000192165374756, -0.000192165374756)
@(5, 0x000000D0, 0x07700F88, -0.000192165374756, -0.000192165374756)
@(5, 0x000000D0, 0x077F0077, 0.000192165374756, 0.000192165374756)
@(5, 0x000000D0, 0x077F0F77, -0.000192165374756, -0.000192165374756)
@(5, 0x000000D0, 0x07800077, 0.000192165374756, 0.000192165374756)
@(5, 0x000000D0, 0x07800088, 0.000192165374756, 0.000192165374756)
@(5, 0x000000D0, 0x07800F77, -0.000192165374756, -0.000192165374756)
@(5, 0x000000D0, 0x07800F88, -0.000192165374756, -0.000192165374756)
@(5, 0x00009000, 0x80787787, 0.000191926956177, 0.000191926956177)
@(5, 0x00009000, 0x80787878, -0.000191926956177, -0.000191926956177)
@(5, 0x70000000, 0x83CC848C, -0.000189781188965, -0.000189781188965)
@(5, 0x70000000, 0x83CC8B73, 0.000189781188965, 0.000189781188965)
@(5, 0x70000000, 0x8CCC848C, 0.000189781188965, 0.000189781188965)
@(5, 0x70000000, 0x8CCC8B73, -0.000189781188965, -0.000189781188965)
@(5, 0x50000000, 0x77788088, -0.000189304351807, -0.000189304351807)
@(5, 0x50000000, 0x77788F87, 0.000189304351807, 0.000189304351807)
@(5, 0x50000000, 0x78878088, 0.000189304351807, 0.000189304351807)
@(5, 0x50000000, 0x78878F87, -0.000189304351807, -0.000189304351807)
@(5, 0x00005000, 0x87FF7778, 0.000187158584595, 0.000187158584595)
@(5, 0x00005000, 0x87FF7887, -0.000187158584595, -0.000187158584595)
@(5, 0x00003000, 0x84CC8C8C, -0.000185966491699, -0.000185966491699)
@(5, 0x00000002, 0x00111098, -0.000183105468750, -0.000183105468750)
@(5, 0x00000002, 0x00111145, -0.000183105468750, -0.000183105468750)
@(5, 0x00000002, 0x001111CD, -0.000183105468750, -0.000183105468750)
@(5, 0x00000002, 0x001113EF, 0.000183105468750, 0.000183105468750)
@(5, 0x00000002, 0x00111498, -0.000183105468750, -0.000183105468750)
@(5, 0x00000002, 0x00111545, 0.000183105468750, 0.000183105468750)
@(5, 0x00000070, 0x88008280, -0.000183105468750, -0.000183105468750)
@(5, 0x00000070, 0x88008780, 0.000183105468750, 0.000183105468750)
@(5, 0x00000070, 0x88008A80, 0.000183105468750, 0.000183105468750)
@(5, 0x00000070, 0x88008F80, 0.000183105468750, 0.000183105468750)
@(5, 0x00700000, 0x8280780F, -0.000183105468750, -0.000183105468750)
@(5, 0x00700000, 0x8280F807, 0.000183105468750, 0.000183105468750)
@(5, 0x00700000, 0x83C48C04, 0.000183105468750, 0.000183105468750)
@(5, 0x00700000, 0x86C48C04, -0.000183105468750, -0.000183105468750)
@(5, 0x00700000, 0x8780780F, 0.000183105468750, 0.000183105468750)
@(5, 0x00700000, 0x8780F807, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x00880880, 0.000183105468750, 0.000183105468750)
@(5, 0x00900000, 0x00880884, 0.000183105468750, 0.000183105468750)
@(5, 0x00900000, 0x00880CC0, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x00880CC4, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x00CC08C0, 0.000183105468750, 0.000183105468750)
@(5, 0x00900000, 0x00CC08C4, 0.000183105468750, 0.000183105468750)
@(5, 0x00900000, 0x00CC0C80, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x00CC0C84, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x04880880, -0.000183105468750, -0.000183105468750)
@(5, 0x00900000, 0x04880884, -0.000183105468750, -0.000183105468750)
@(5, 0x50000000, 0x87888088, -0.000179767608643, -0.000179767608643)
@(5, 0x00000050, 0x07800088, 0.000174045562744, 0.000174045562744)
@(5, 0x00000050, 0x07800F77, -0.000174045562744, -0.000174045562744)
@(5, 0x00000050, 0x078F0088, 0.000174045562744, 0.000174045562744)
@(5, 0x00000050, 0x078F0F77, -0.000174045562744, -0.000174045562744)
@(5, 0x00000050, 0x08800F77, 0.000174045562744, 0.000174045562744)
@(5, 0x00000050, 0x088F0088, -0.000174045562744, -0.000174045562744)
@(5, 0x00000050, 0x088F0F77, 0.000174045562744, 0.000174045562744)
@(5, 0x00000060, 0x07700077, 0.000173568725586, 0.000173568725586)
@(5, 0x00000060, 0x07700088, 0.000173568725586, 0.000173568725586)
@(5, 0x00000060, 0x07700F77, -0.000173568725586, -0.000173568725586)
@(5, 0x00000060, 0x07700F88, -0.000173568725586, -0.000173568725586)
@(5, 0x00000060, 0x077F0077, 0.000173568725586, 0.000173568725586)
@(5, 0x00000060, 0x077F0F77, -0.000173568725586, -0.000173568725586)
@(5, 0x00000060, 0x07800077, 0.000173568725586, 0.000173568725586)
@(5, 0x00000060, 0x07800088, 0.000173568725586, 0.000173568725586)
@(5, 0x00000060, 0x07800F77, -0.000173568725586, -0.000173568725586)
@(5, 0x00000060, 0x07800F88, -0.000173568725586, -0.000173568725586)
@(5, 0x00600000, 0x00770770, 0.000173568725586, 0.000173568725586)
@(5, 0x00600000, 0x0077077F, 0.000173568725586, 0.000173568725586)
@(5, 0x00600000, 0x00770780, 0.000173568725586, 0.000173568725586)
@(5, 0x00600000, 0x0077078F, 0.000173568725586, 0.000173568725586)
@(5, 0x00600000, 0x00770870, -0.000173568725586, -0.000173568725586)
@(5, 0x00600000, 0x0077087F, -0.000173568725586, -0.000173568725586)
@(5, 0x00600000, 0x00770880, -0.000173568725586, -0.000173568725586)
@(5, 0x00600000, 0x0077088F, -0.000173568725586, -0.000173568725586)
@(5, 0x00600000, 0x00880078, 0.000173568725586, 0.000173568725586)
@(5, 0x00600000, 0x0088007F, 0.000173568725586, 0.000173568725586)
@(5, 0x30000000, 0x838CC08C, 0.000168800354004, 0.000168800354004)
@(5, 0x30000000, 0x838CCF73, -0.000168800354004, -0.000168800354004)
@(5, 0x00000030, 0x08800088, 0.000167846679688, 0.000167846679688)
@(5, 0x00400000, 0x00440442, 0.000167846679688, 0.000167846679688)
@(5, 0x00400000, 0x00440640, -0.000167846679688, -0.000167846679688)
@(5, 0x00400000, 0x00440642, -0.000167846679688, -0.000167846679688)
@(5, 0x00400000, 0x02660440, -0.000167846679688, -0.000167846679688)
@(5, 0x00400000, 0x02660442, -0.000167846679688, -0.000167846679688)
@(5, 0x00400000, 0x02660640, 0.000167846679688, 0.000167846679688)
@(5, 0x00400000, 0x02660642, 0.000167846679688, 0.000167846679688)
@(5, 0x80000000, 0x80828800, 0.000167846679688, 0.000167846679688)
@(5, 0x80000000, 0x80878800, -0.000167846679688, -0.000167846679688)
@(5, 0x80000000, 0x808A8800, 0.000167846679688, 0.000167846679688)
@(5, 0x80000000, 0x808F8800, -0.000167846679688, -0.000167846679688)
@(5, 0x80000000, 0x85828800, -0.000167846679688, -0.000167846679688)
@(5, 0x80000000, 0x85878800, 0.000167846679688, 0.000167846679688)
@(5, 0x80000000, 0x858A8800, 0.000167846679688, 0.000167846679688)
@(5, 0x80000000, 0x858F8800, -0.000167846679688, -0.000167846679688)
@(5, 0x70000000, 0x838CC08C, 0.000163078308105, 0.000163078308105)
@(5, 0x70000000, 0x838CCF73, -0.000163078308105, -0.000163078308105)
@(5, 0x00000030, 0x08800488, -0.000160217285156, -0.000160217285156)
@(5, 0x00000030, 0x08840088, 0.000160217285156, 0.000160217285156)
@(5, 0x00000030, 0x08840488, -0.000160217285156, -0.000160217285156)
@(5, 0x00000030, 0x08C000CC, 0.000160217285156, 0.000160217285156)
@(5, 0x00000030, 0x08C004CC, -0.000160217285156, -0.000160217285156)
@(5, 0x00000030, 0x08C400CC, 0.000160217285156, 0.000160217285156)
@(5, 0x00000030, 0x08C404CC, -0.000160217285156, -0.000160217285156)
@(5, 0x00000030, 0x0C8000CC, -0.000160217285156, -0.000160217285156)
@(5, 0x00000030, 0x0C8004CC, 0.000160217285156, 0.000160217285156)
@(5, 0x0000D000, 0x84CC8C88, 0.000160217285156, 0.000160217285156)
@(5, 0x00400000, 0x00440140, -0.000160217285156, -0.000160217285156)
@(5, 0x00400000, 0x00440145, -0.000160217285156, -0.000160217285156)
@(5, 0x00400000, 0x0088077B, -0.000160217285156, -0.000160217285156)
@(5, 0x00000070, 0x04400244, 0.000158309936523, 0.000158309936523)
@(5, 0x00000070, 0x04400266, 0.000158309936523, 0.000158309936523)
@(5, 0x00000070, 0x04420244, 0.000158309936523, 0.000158309936523)
@(5, 0x00000070, 0x04420266, 0.000158309936523, 0.000158309936523)
@(5, 0x00000070, 0x04600244, 0.000158309936523, 0.000158309936523)
@(5, 0x00000070, 0x04600266, 0.000158309936523, 0.000158309936523)
@(5, 0x0000D000, 0x84CC8C8C, 0.000157356262207, 0.000157356262207)
@(5, 0xC0000000, 0x4E4EE04E, -0.000154018402100, -0.000154018402100)
@(5, 0x00000020, 0x022018AB, -0.000152587890625, -0.000152587890625)
@(5, 0x00000020, 0x022058AF, 0.000152587890625, 0.000152587890625)
@(5, 0x00000020, 0x022098A3, 0.000152587890625, 0.000152587890625)
@(5, 0x00000020, 0x0220D8A7, 0.000152587890625, 0.000152587890625)
@(5, 0x00000020, 0x122108AA, -0.000152587890625, -0.000152587890625)
@(5, 0x00000020, 0x122908AA, -0.000152587890625, -0.000152587890625)
@(5, 0x00000040, 0x04400266, -0.000152587890625, -0.000152587890625)
@(5, 0x00000040, 0x04420044, 0.000152587890625, 0.000152587890625)
@(5, 0x00000040, 0x04420266, -0.000152587890625, -0.000152587890625)
@(5, 0x00000040, 0x06400044, -0.000152587890625, -0.000152587890625)
@(5, 0x00000040, 0x06400266, 0.000152587890625, 0.000152587890625)
@(5, 0x00000040, 0x06420044, -0.000152587890625, -0.000152587890625)
@(5, 0x00000040, 0x06420266, 0.000152587890625, 0.000152587890625)
@(5, 0x00200000, 0x00221A21, -0.000152587890625, -0.000152587890625)
@(5, 0x00200000, 0x00221A29, -0.000152587890625, -0.000152587890625)
@(5, 0x00200000, 0x10230A20, 0.000152587890625, 0.000152587890625)
@(5, 0x00200000, 0x10230A28, -0.000152587890625, -0.000152587890625)
@(5, 0xC0000000, 0x4E4E6046, -0.000152587890625, -0.000152587890625)
@(5, 0xE0000000, 0x10130232, 0.000152587890625, 0.000152587890625)
@(5, 0xE0000000, 0x101B0232, 0.000152587890625, 0.000152587890625)
@(5, 0xE0000000, 0x10560636, -0.000152587890625, -0.000152587890625)
@(5, 0xE0000000, 0x105E0636, -0.000152587890625, -0.000152587890625)
@(5, 0xC0000000, 0x464EC04C, -0.000151157379150, -0.000151157379150)
@(5, 0xC0000000, 0x46466046, -0.000150680541992, -0.000150680541992)
@(5, 0xA0000000, 0x44446066, -0.000146865844727, -0.000146865844727)
@(5, 0xA0000000, 0x46666264, -0.000146865844727, -0.000146865844727)
@(5, 0x00000040, 0x01400044, -0.000144958496094, -0.000144958496094)
@(5, 0x60000000, 0x2222A02A, -0.000144958496094, -0.000144958496094)
@(5, 0x00500000, 0x0088077B, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x0088077F, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x00880880, 0.000144004821777, 0.000144004821777)
@(5, 0x00500000, 0x00880884, 0.000144004821777, 0.000144004821777)
@(5, 0x00500000, 0x00884CC0, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x00884CC4, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x04CC037B, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x04CC037F, -0.000144004821777, -0.000144004821777)
@(5, 0x00500000, 0x04CC0C80, 0.000144004821777, 0.000144004821777)
@(5, 0x00500000, 0x04CC0C84, 0.000144004821777, 0.000144004821777)
@(5, 0x00000010, 0x07700077, -0.000143527984619, -0.000143527984619)
@(5, 0x00000010, 0x07700088, -0.000143527984619, -0.000143527984619)
@(5, 0x00000010, 0x07700F77, 0.000143527984619, 0.000143527984619)
@(5, 0x00000010, 0x07700F88, 0.000143527984619, 0.000143527984619)
@(5, 0x00000010, 0x077F0077, -0.000143527984619, -0.000143527984619)
@(5, 0x00000010, 0x077F0F77, 0.000143527984619, 0.000143527984619)
@(5, 0x00000010, 0x07800077, -0.000143527984619, -0.000143527984619)
@(5, 0x00000010, 0x07800088, -0.000143527984619, -0.000143527984619)
@(5, 0x00000010, 0x07800F77, 0.000143527984619, 0.000143527984619)
@(5, 0x00000010, 0x07800F88, 0.000143527984619, 0.000143527984619)
@(5, 0x00000050, 0x08800088, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x00770770, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x0077077F, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x00770780, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x0077078F, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x00770870, 0.000143527984619, 0.000143527984619)
@(5, 0x00100000, 0x0077087F, 0.000143527984619, 0.000143527984619)
@(5, 0x00100000, 0x00770880, 0.000143527984619, 0.000143527984619)
@(5, 0x00100000, 0x0077088F, 0.000143527984619, 0.000143527984619)
@(5, 0x00100000, 0x00880078, -0.000143527984619, -0.000143527984619)
@(5, 0x00100000, 0x0088007F, -0.000143527984619, -0.000143527984619)
@(5, 0x00000050, 0x00490D99, -0.000141143798828, -0.000141143798828)
@(5, 0x00000050, 0x004D0D99, -0.000141143798828, -0.000141143798828)
@(5, 0x00000090, 0x28820088, -0.000138998031616, -0.000138998031616)
@(5, 0x00000090, 0x78870088, -0.000138998031616, -0.000138998031616)
@(5, 0x00000020, 0x222203AA, -0.000137329101562, -0.000137329101562)
@(5, 0x00000020, 0x222207AA, -0.000137329101562, -0.000137329101562)
@(5, 0x00000020, 0x22220BAA, 0.000137329101562, 0.000137329101562)
@(5, 0x00000020, 0x22220FAA, -0.000137329101562, -0.000137329101562)
@(5, 0x00008000, 0x80C888C8, 0.000137329101562, 0.000137329101562)
@(5, 0x00008000, 0x80C888CC, 0.000137329101562, 0.000137329101562)
@(5, 0x00008000, 0x80C88C88, -0.000137329101562, -0.000137329101562)
@(5, 0x00008000, 0x80C88C8C, -0.000137329101562, -0.000137329101562)
@(5, 0x00008000, 0x80C8C8C8, -0.000137329101562, -0.000137329101562)
@(5, 0x00008000, 0x80C8C8CC, -0.000137329101562, -0.000137329101562)
@(5, 0x00008000, 0x80C8CC88, 0.000137329101562, 0.000137329101562)
@(5, 0x00008000, 0x80C8CC8C, 0.000137329101562, 0.000137329101562)
@(5, 0x00008000, 0x84CC88C8, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x80C888C8, 0.000137329101562, 0.000137329101562)
@(5, 0x0000C000, 0x80C888CC, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x80C88C88, 0.000137329101562, 0.000137329101562)
@(5, 0x0000C000, 0x80C88C8C, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x80C8C8C8, 0.000137329101562, 0.000137329101562)
@(5, 0x0000C000, 0x80C8C8CC, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x80C8CC88, 0.000137329101562, 0.000137329101562)
@(5, 0x0000C000, 0x80C8CC8C, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x84CC88C8, -0.000137329101562, -0.000137329101562)
@(5, 0x0000C000, 0x84CC88CC, 0.000137329101562, 0.000137329101562)
@(5, 0x0000E000, 0x80C888C8, 0.000137329101562, 0.000137329101562)
@(5, 0x0000E000, 0x80C888CC, -0.000137329101562, -0.000137329101562)
@(5, 0x0000E000, 0x80C88C88, 0.000137329101562, 0.000137329101562)
@(5, 0x0000E000, 0x80C88C8C, -0.000137329101562, -0.000137329101562)
@(5, 0x0000E000, 0x80C8C8C8, 0.000137329101562, 0.000137329101562)
@(5, 0x0000E000, 0x80C8C8CC, -0.000137329101562, -0.000137329101562)
@(5, 0x0000E000, 0x80C8CC88, 0.000137329101562, 0.000137329101562)
@(5, 0x0000E000, 0x80C8CC8C, -0.000137329101562, -0.000137329101562)
@(5, 0x0000E000, 0x84CC88C8, -0.000137329101562, -0.000137329101562)
@(5, 0x0000E000, 0x84CC88CC, 0.000137329101562, 0.000137329101562)
@(5, 0x40000000, 0x2222A02A, 0.000137329101562, 0.000137329101562)
@(5, 0xC0000000, 0x4646E04E, -0.000133514404297, -0.000133514404297)
@(5, 0x50000000, 0x80FF8088, 0.000131130218506, 0.000131130218506)
@(5, 0xC0000000, 0x4146C04C, -0.000125885009766, -0.000125885009766)
@(5, 0xC0000000, 0x4E46C04C, -0.000125885009766, -0.000125885009766)
@(5, 0x00003000, 0x80887778, -0.000124692916870, -0.000124692916870)
@(5, 0x00003000, 0x80887887, 0.000124692916870, 0.000124692916870)
@(5, 0x00003000, 0x80888777, 0.000124692916870, 0.000124692916870)
@(5, 0x00003000, 0x80888888, -0.000124692916870, -0.000124692916870)
@(5, 0x00003000, 0x8F877778, 0.000124692916870, 0.000124692916870)
@(5, 0x00003000, 0x8F877887, -0.000124692916870, -0.000124692916870)
@(5, 0x00003000, 0x8F878777, -0.000124692916870, -0.000124692916870)
@(5, 0x00003000, 0x8F878888, 0.000124692916870, 0.000124692916870)
@(5, 0x00000090, 0x00410155, 0.000122070312500, 0.000122070312500)
@(5, 0x00000090, 0x004103DD, -0.000122070312500, -0.000122070312500)
@(5, 0x00000090, 0x00410511, -0.000122070312500, -0.000122070312500)
@(5, 0x00000090, 0x00410799, -0.000122070312500, -0.000122070312500)
@(5, 0x00000090, 0x004109DD, 0.000122070312500, 0.000122070312500)
@(5, 0x00000090, 0x00410B55, -0.000122070312500, -0.000122070312500)
@(5, 0x00000090, 0x00410D99, 0.000122070312500, 0.000122070312500)
@(5, 0x00000090, 0x00410F11, 0.000122070312500, 0.000122070312500)
@(5, 0x0000D000, 0x80C888C8, 0.000122070312500, 0.000122070312500)
@(5, 0x0000D000, 0x80C888CC, 0.000122070312500, 0.000122070312500)
