# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00000006, 0x852A708F, 0.000284194946289, 0.000284194946289)
@(5, 0x00000005, 0x0088708F, 0.000274658203125, 0.000274658203125)
@(5, 0x00000005, 0x0F88708F, -0.000274658203125, -0.000274658203125)
@(5, 0x00000005, 0x0F888080, 0.000274658203125, 0.000274658203125)
@(5, 0x00000008, 0x002228A8, -0.000274658203125, -0.000274658203125)
@(5, 0x00000008, 0x0022A028, -0.000274658203125, -0.000274658203125)
@(5, 0x00000008, 0x00AA2820, -0.000274658203125, -0.000274658203125)
@(5, 0x00000080, 0x022008AA, -0.000274658203125, -0.000274658203125)
@(5, 0x00000080, 0x022808AA, -0.000274658203125, -0.000274658203125)
@(5, 0x00000080, 0x02A00822, -0.000274658203125, -0.000274658203125)
@(5, 0x00000080, 0x02A80822, -0.000274658203125, -0.000274658203125)
@(5, 0x00080000, 0x20200822, -0.000274658203125, -0.000274658203125)
@(5, 0x00080000, 0x20A808AA, -0.000274658203125, -0.000274658203125)
@(5, 0x00080000, 0x282000AA, -0.000274658203125, -0.000274658203125)
@(5, 0x00080000, 0x28A80022, -0.000274658203125, -0.000274658203125)
@(5, 0x00800000, 0x00220A20, -0.000274658203125, -0.000274658203125)
@(5, 0x00800000, 0x00220A28, -0.000274658203125, -0.000274658203125)
@(5, 0xE0000000, 0x88CC84CC, 0.000274658203125, 0.000274658203125)
@(5, 0xE0000000, 0x8C8880C8, 0.000274658203125, 0.000274658203125)
@(5, 0x0000000F, 0x00AA7D70, -0.000259399414062, -0.000259399414062)
@(5, 0x0000000F, 0x00AAAD7D, 0.000259399414062, 0.000259399414062)
@(5, 0x000000E0, 0x04400AEE, 0.000255107879639, 0.000255107879639)
@(5, 0x000000E0, 0x044A0044, 0.000255107879639, 0.000255107879639)
@(5, 0x000000E0, 0x044A0AEE, 0.000255107879639, 0.000255107879639)
@(5, 0x000000E0, 0x0E400044, 0.000255107879639, 0.000255107879639)
@(5, 0x000000E0, 0x0E400AEE, 0.000255107879639, 0.000255107879639)
@(5, 0x000000E0, 0x0E4A0044, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x0044044A, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x00440E40, 0.000255107879639, 0.000255107879639)
