PDF-compliant scoring report
Rule: valid iff VE in [VT-|VT|*2^(-2r), VT+|VT|*2^(-2r)], VE!=0, u!=0, v!=0
This solver computes VE and VT by exact sparse correlation composition, so VE = VT.

=== r = 1 ===
No  u           v           VE                 VT                 Score
 1  0x00000001  0x70070000     -0.500000000000     -0.500000000000    1.0000
 2  0x00000001  0x80080000      0.500000000000      0.500000000000    1.0000
 3  0x00000002  0x10010000      0.500000000000      0.500000000000    1.0000
 4  0x00000002  0x50050000     -0.500000000000     -0.500000000000    1.0000
 5  0x00000002  0x90090000     -0.500000000000     -0.500000000000    1.0000
 6  0x00000002  0xD00D0000     -0.500000000000     -0.500000000000    1.0000
 7  0x00000003  0x30030000      0.500000000000      0.500000000000    1.0000
 8  0x00000003  0xC00C0000      0.500000000000      0.500000000000    1.0000
 9  0x00000004  0x20020000      0.500000000000      0.500000000000    1.0000
10  0x00000004  0x70070000      0.500000000000      0.500000000000    1.0000
11  0x00000004  0xA00A0000     -0.500000000000     -0.500000000000    1.0000
12  0x00000004  0xF00F0000      0.500000000000      0.500000000000    1.0000
13  0x00000005  0x80080000     -0.500000000000     -0.500000000000    1.0000
14  0x00000005  0xF00F0000      0.500000000000      0.500000000000    1.0000
15  0x00000006  0x20020000     -0.500000000000     -0.500000000000    1.0000
16  0x00000006  0x30030000      0.500000000000      0.500000000000    1.0000
17  0x00000006  0xA00A0000     -0.500000000000     -0.500000000000    1.0000
18  0x00000006  0xB00B0000     -0.500000000000     -0.500000000000    1.0000
19  0x00000007  0xB00B0000      0.500000000000      0.500000000000    1.0000
20  0x00000007  0xC00C0000      0.500000000000      0.500000000000    1.0000
21  0x00000008  0x40040000      0.500000000000      0.500000000000    1.0000
22  0x00000008  0xE00E0000      0.500000000000      0.500000000000    1.0000
23  0x00000009  0x80080000     -0.500000000000     -0.500000000000    1.0000
24  0x00000009  0xC00C0000      0.500000000000      0.500000000000    1.0000
25  0x0000000A  0x40040000     -0.500000000000     -0.500000000000    1.0000
26  0x0000000A  0xE00E0000      0.500000000000      0.500000000000    1.0000
27  0x0000000B  0x90090000     -0.500000000000     -0.500000000000    1.0000
28  0x0000000B  0xD00D0000      0.500000000000      0.500000000000    1.0000
29  0x0000000C  0x40040000     -0.500000000000     -0.500000000000    1.0000
30  0x0000000C  0x60060000      0.500000000000      0.500000000000    1.0000
31  0x0000000D  0x80080000     -0.500000000000     -0.500000000000    1.0000
32  0x0000000D  0xC00C0000     -0.500000000000     -0.500000000000    1.0000
33  0x0000000E  0x40040000     -0.500000000000     -0.500000000000    1.0000
34  0x0000000E  0x60060000     -0.500000000000     -0.500000000000    1.0000
35  0x0000000F  0x10010000      0.500000000000      0.500000000000    1.0000
36  0x0000000F  0x50050000      0.500000000000      0.500000000000    1.0000
37  0x00000010  0x00000707     -0.500000000000     -0.500000000000    1.0000
38  0x00000010  0x00000808      0.500000000000      0.500000000000    1.0000
39  0x00000020  0x00000101      0.500000000000      0.500000000000    1.0000
40  0x00000020  0x00000505     -0.500000000000     -0.500000000000    1.0000
41  0x00000020  0x00000909     -0.500000000000     -0.500000000000    1.0000
42  0x00000020  0x00000D0D     -0.500000000000     -0.500000000000    1.0000
43  0x00000030  0x00000303      0.500000000000      0.500000000000    1.0000
44  0x00000030  0x00000C0C      0.500000000000      0.500000000000    1.0000
45  0x00000040  0x00000202      0.500000000000      0.500000000000    1.0000
46  0x00000040  0x00000707      0.500000000000      0.500000000000    1.0000
47  0x00000040  0x00000A0A     -0.500000000000     -0.500000000000    1.0000
48  0x00000040  0x00000F0F      0.500000000000      0.500000000000    1.0000
49  0x00000050  0x00000808     -0.500000000000     -0.500000000000    1.0000
50  0x00000050  0x00000F0F      0.500000000000      0.500000000000    1.0000
51  0x00000060  0x00000202     -0.500000000000     -0.500000000000    1.0000
52  0x00000060  0x00000303      0.500000000000      0.500000000000    1.0000
53  0x00000060  0x00000A0A     -0.500000000000     -0.500000000000    1.0000
54  0x00000060  0x00000B0B     -0.500000000000     -0.500000000000    1.0000
55  0x00000070  0x00000B0B      0.500000000000      0.500000000000    1.0000
56  0x00000070  0x00000C0C      0.500000000000      0.500000000000    1.0000
57  0x00000080  0x00000404      0.500000000000      0.500000000000    1.0000
58  0x00000080  0x00000E0E      0.500000000000      0.500000000000    1.0000
59  0x00000090  0x00000808     -0.500000000000     -0.500000000000    1.0000
60  0x00000090  0x00000C0C      0.500000000000      0.500000000000    1.0000
61  0x000000A0  0x00000404     -0.500000000000     -0.500000000000    1.0000
62  0x000000A0  0x00000E0E      0.500000000000      0.500000000000    1.0000
63  0x000000B0  0x00000909     -0.500000000000     -0.500000000000    1.0000
64  0x000000B0  0x00000D0D      0.500000000000      0.500000000000    1.0000
65  0x000000C0  0x00000404     -0.500000000000     -0.500000000000    1.0000
66  0x000000C0  0x00000606      0.500000000000      0.500000000000    1.0000
67  0x000000D0  0x00000808     -0.500000000000     -0.500000000000    1.0000
68  0x000000D0  0x00000C0C     -0.500000000000     -0.500000000000    1.0000
69  0x000000E0  0x00000404     -0.500000000000     -0.500000000000    1.0000
70  0x000000E0  0x00000606     -0.500000000000     -0.500000000000    1.0000
71  0x000000F0  0x00000101      0.500000000000      0.500000000000    1.0000
72  0x000000F0  0x00000505      0.500000000000      0.500000000000    1.0000
73  0x00000100  0x07770000     -0.500000000000     -0.500000000000    1.0000
74  0x00000100  0x08880000      0.500000000000      0.500000000000    1.0000
